Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"01,",2018,0,1,3,4,0,7,7,11,5,2,7,0,18,18,25,36,
1,0,1,1,0,5,5,6,1,1,2,0,16,16,18,24,,,,
2,3,1,4,0,11,11,15,1,2,3,0,5,5,8,23,,,,
3,4,2,6,1,20,21,27,1,1,2,1,11,12,14,41,,,,
4,2,4,6,4,48,52,58,1,8,9,0,38,38,47,105,,,,
5,9,10,19,0,108,108,127,2,6,8,0,54,54,62,189,,,,
6,14,17,31,6,163,169,200,7,8,15,0,113,113,128,328,,,,
7,18,16,34,5,164,169,203,15,15,30,0,133,133,163,366,,,,
8,26,11,37,4,187,191,228,18,17,35,1,171,172,207,435,,,,
9,48,13,61,2,178,180,241,38,22,60,1,176,177,237,478,,,,
10,47,13,60,6,190,196,256,35,22,57,0,206,206,263,519,,,,
11,37,9,46,10,161,171,217,49,21,70,2,192,194,264,481,,,,
12,56,15,71,4,180,184,255,47,19,66,2,167,169,235,490,,,,
13,45,15,60,5,188,193,253,32,21,53,2,175,177,230,483,,,,
14,33,9,42,4,203,207,249,28,19,47,1,213,214,261,510,,,,
15,48,14,62,4,205,209,271,57,18,75,0,220,220,295,566,,,,
16,42,20,62,6,206,212,274,25,13,38,3,238,241,279,553,,,,
17,40,19,59,4,211,215,274,30,15,45,1,215,216,261,535,,,,
18,24,12,36,5,159,164,200,33,11,44,0,153,153,197,397,,,,
19,11,8,19,4,98,102,121,19,15,34,0,123,123,157,278,,,,
20,11,7,18,4,56,60,78,15,8,23,0,90,90,113,191,,,,
21,10,3,13,0,43,43,56,9,3,12,0,62,62,74,130,,,,
Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"01,",2018,22,5,6,11,1,25,26,37,8,3,11,0,48,48,59,96,
23,1,1,2,1,14,15,17,2,3,5,0,27,27,32,49,,,,
All,Hours,535,229,764,80,"2,830","2,910","3,674",478,273,751,14,"2,864","2,878","3,629","7,303",,,
March,"02,",2018,0,5,4,9,1,7,8,17,1,2,3,0,26,26,29,46,
1,3,2,5,0,4,4,9,0,6,6,0,16,16,22,31,,,,
2,3,0,3,0,6,6,9,2,0,2,0,12,12,14,23,,,,
3,3,3,6,2,20,22,28,0,2,2,0,10,10,12,40,,,,
4,8,3,11,1,39,40,51,1,7,8,0,42,42,50,101,,,,
5,11,11,22,0,97,97,119,0,9,9,0,42,42,51,170,,,,
6,15,12,27,2,141,143,170,8,13,21,1,94,95,116,286,,,,
7,14,5,19,3,157,160,179,13,12,25,0,142,142,167,346,,,,
8,15,17,32,3,154,157,189,22,16,38,2,190,192,230,419,,,,
9,29,19,48,5,167,172,220,29,21,50,2,169,171,221,441,,,,
10,44,17,61,3,211,214,275,35,24,59,1,205,206,265,540,,,,
11,40,16,56,6,198,204,260,48,26,74,1,192,193,267,527,,,,
12,38,17,55,2,186,188,243,40,27,67,1,214,215,282,525,,,,
13,46,11,57,2,178,180,237,50,24,74,3,207,210,284,521,,,,
14,42,10,52,6,228,234,286,32,21,53,1,266,267,320,606,,,,
15,44,14,58,3,241,244,302,45,19,64,1,265,266,330,632,,,,
16,72,25,97,2,227,229,326,32,26,58,0,312,312,370,696,,,,
17,64,17,81,5,269,274,355,57,26,83,3,297,300,383,738,,,,
18,49,18,67,5,160,165,232,26,26,52,3,210,213,265,497,,,,
19,29,15,44,1,123,124,168,33,9,42,0,197,197,239,407,,,,
20,18,13,31,1,79,80,111,15,20,35,0,112,112,147,258,,,,
21,12,8,20,2,54,56,76,16,8,24,0,86,86,110,186,,,,
22,6,3,9,0,27,27,36,12,11,23,1,59,60,83,119,,,,
Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"02,",2018,23,8,6,14,0,18,18,32,15,5,20,0,51,51,71,103,
All,Hours,618,266,884,55,"2,991","3,046","3,930",532,360,892,20,"3,416","3,436","4,328","8,258",,,
March,"03,",2018,0,2,3,5,0,13,13,18,6,3,9,0,27,27,36,54,
1,0,2,2,0,3,3,5,1,1,2,0,15,15,17,22,,,,
2,1,1,2,0,6,6,8,1,4,5,0,10,10,15,23,,,,
3,5,1,6,0,6,6,12,3,1,4,0,8,8,12,24,,,,
4,4,2,6,3,22,25,31,2,5,7,0,26,26,33,64,,,,
5,10,6,16,1,42,43,59,4,4,8,1,29,30,38,97,,,,
6,7,3,10,0,65,65,75,12,7,19,0,62,62,81,156,,,,
7,17,3,20,1,80,81,101,27,18,45,0,107,107,152,253,,,,
8,22,14,36,4,153,157,193,20,18,38,0,150,150,188,381,,,,
9,48,18,66,3,215,218,284,48,18,66,0,194,194,260,544,,,,
10,63,17,80,3,218,221,301,54,22,76,1,204,205,281,582,,,,
11,64,18,82,5,208,213,295,67,30,97,2,197,199,296,591,,,,
12,55,10,65,4,214,218,283,56,19,75,1,171,172,247,530,,,,
13,61,21,82,3,173,176,258,34,18,52,2,151,153,205,463,,,,
14,58,9,67,3,189,192,259,51,21,72,0,161,161,233,492,,,,
15,55,19,74,1,206,207,281,43,14,57,0,182,182,239,520,,,,
16,43,17,60,3,197,200,260,30,18,48,0,180,180,228,488,,,,
17,55,15,70,6,207,213,283,32,14,46,0,206,206,252,535,,,,
18,46,16,62,5,136,141,203,40,12,52,0,150,150,202,405,,,,
19,24,13,37,8,98,106,143,28,16,44,1,130,131,175,318,,,,
20,24,6,30,6,60,66,96,16,10,26,1,109,110,136,232,,,,
21,5,8,13,5,41,46,59,15,13,28,1,72,73,101,160,,,,
22,7,3,10,2,34,36,46,13,8,21,2,56,58,79,125,,,,
23,4,6,10,2,13,15,25,9,9,18,0,46,46,64,89,,,,
Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"03,",2018,All,Hours,680,231,911,68,"2,599","2,667","3,578",612,303,915,12,"2,643","2,655","3,570","7,148"
March,"04,",2018,0,5,2,7,1,9,10,17,8,7,15,0,21,21,36,53,
1,2,2,4,0,6,6,10,4,1,5,1,14,15,20,30,,,,
2,3,1,4,0,6,6,10,5,2,7,0,7,7,14,24,,,,
3,4,2,6,1,21,22,28,4,1,5,0,7,7,12,40,,,,
4,5,3,8,1,16,17,25,6,4,10,0,5,5,15,40,,,,
5,1,3,4,1,21,22,26,2,1,3,1,21,22,25,51,,,,
6,10,2,12,1,39,40,52,6,3,9,0,38,38,47,99,,,,
7,16,1,17,0,66,66,83,5,6,11,1,60,61,72,155,,,,
8,12,9,21,2,90,92,113,16,7,23,0,92,92,115,228,,,,
9,31,13,44,2,158,160,204,25,12,37,1,129,130,167,371,,,,
10,57,13,70,2,219,221,291,26,10,36,1,145,146,182,473,,,,
11,64,12,76,2,270,272,348,50,22,72,1,173,174,246,594,,,,
12,61,23,84,6,249,255,339,56,17,73,0,203,203,276,615,,,,
13,62,28,90,6,219,225,315,44,15,59,4,175,179,238,553,,,,
14,45,18,63,4,240,244,307,40,16,56,0,171,171,227,534,,,,
15,64,21,85,7,248,255,340,38,19,57,0,180,180,237,577,,,,
16,67,21,88,4,269,273,361,37,13,50,0,203,203,253,614,,,,
17,59,29,88,4,247,251,339,53,15,68,0,194,194,262,601,,,,
18,40,18,58,6,207,213,271,34,10,44,0,166,166,210,481,,,,
19,20,13,33,6,114,120,153,35,14,49,0,121,121,170,323,,,,
20,9,9,18,1,68,69,87,22,10,32,0,102,102,134,221,,,,
21,10,4,14,0,43,43,57,13,11,24,0,57,57,81,138,,,,
22,4,5,9,1,20,21,30,12,3,15,1,36,37,52,82,,,,
23,3,1,4,0,22,22,26,6,4,10,0,38,38,48,74,,,,
All,Hours,654,253,907,58,"2,867","2,925","3,832",547,223,770,11,"2,358","2,369","3,139","6,971",,,
Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"05,",2018,0,3,3,6,0,5,5,11,10,2,12,0,16,16,28,39,
1,4,2,6,0,3,3,9,2,2,4,0,11,11,15,24,,,,
2,1,1,2,1,8,9,11,2,2,4,0,9,9,13,24,,,,
3,3,1,4,0,13,13,17,2,2,4,0,7,7,11,28,,,,
4,6,5,11,3,50,53,64,4,4,8,0,19,19,27,91,,,,
5,6,8,14,3,117,120,134,5,6,11,1,54,55,66,200,,,,
6,19,16,35,3,154,157,192,18,6,24,0,116,116,140,332,,,,
7,11,13,24,3,175,178,202,26,42,68,1,158,159,227,429,,,,
8,18,20,38,2,177,179,217,20,36,56,1,161,162,218,435,,,,
9,27,18,45,7,175,182,227,20,31,51,3,126,129,180,407,,,,
10,33,20,53,7,183,190,243,26,35,61,1,166,167,228,471,,,,
11,43,20,63,3,189,192,255,40,44,84,0,165,165,249,504,,,,
12,40,16,56,5,151,156,212,39,36,75,0,149,149,224,436,,,,
13,35,16,51,7,208,215,266,27,33,60,2,151,153,213,479,,,,
14,32,15,47,6,168,174,221,41,30,71,1,181,182,253,474,,,,
15,34,17,51,4,185,189,240,43,34,77,1,178,179,256,496,,,,
16,47,29,76,6,178,184,260,32,41,73,1,204,205,278,538,,,,
17,41,16,57,1,181,182,239,27,28,55,0,198,198,253,492,,,,
18,20,15,35,2,136,138,173,29,15,44,1,118,119,163,336,,,,
19,16,9,25,1,76,77,102,28,31,59,0,103,103,162,264,,,,
20,11,4,15,1,46,47,62,15,19,34,0,80,80,114,176,,,,
21,2,2,4,3,36,39,43,10,13,23,3,56,59,82,125,,,,
22,8,5,13,2,15,17,30,9,10,19,1,31,32,51,81,,,,
23,3,4,7,2,17,19,26,10,4,14,0,32,32,46,72,,,,
All,Hours,463,275,738,72,"2,646","2,718","3,456",485,506,991,17,"2,489","2,506","3,497","6,953",,,
March,"06,",2018,0,1,2,3,1,4,5,8,3,3,6,0,22,22,28,36,
Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"06,",2018,1,1,1,2,1,1,2,4,0,2,2,0,8,8,10,14,
2,1,1,2,0,7,7,9,0,1,1,0,6,6,7,16,,,,
3,4,1,5,0,13,13,18,1,0,1,0,8,8,9,27,,,,
4,6,1,7,2,51,53,60,3,10,13,0,43,43,56,116,,,,
5,8,7,15,1,112,113,128,2,7,9,0,40,40,49,177,,,,
6,28,15,43,1,160,161,204,15,21,36,0,105,105,141,345,,,,
7,14,7,21,0,182,182,203,12,33,45,0,133,133,178,381,,,,
8,16,15,31,1,183,184,215,14,37,51,0,138,138,189,404,,,,
9,31,27,58,1,178,179,237,23,36,59,0,154,154,213,450,,,,
10,45,17,62,2,162,164,226,35,52,87,1,171,172,259,485,,,,
11,28,9,37,5,160,165,202,31,28,59,0,133,133,192,394,,,,
12,24,8,32,4,174,178,210,25,31,56,2,125,127,183,393,,,,
13,36,12,48,1,153,154,202,27,27,54,0,158,158,212,414,,,,
14,41,18,59,5,205,210,269,31,35,66,1,159,160,226,495,,,,
15,38,17,55,2,187,189,244,32,38,70,1,191,192,262,506,,,,
16,32,25,57,4,193,197,254,27,30,57,3,202,205,262,516,,,,
17,37,21,58,6,206,212,270,29,24,53,0,174,174,227,497,,,,
18,16,16,32,3,143,146,178,20,26,46,0,133,133,179,357,,,,
19,16,8,24,3,92,95,119,22,23,45,0,90,90,135,254,,,,
20,8,4,12,1,37,38,50,15,14,29,0,83,83,112,162,,,,
21,7,4,11,4,22,26,37,9,12,21,2,64,66,87,124,,,,
22,3,5,8,1,23,24,32,10,3,13,1,32,33,46,78,,,,
23,4,0,4,0,7,7,11,5,7,12,0,33,33,45,56,,,,
All,Hours,445,241,686,49,"2,655","2,704","3,390",391,500,891,11,"2,405","2,416","3,307","6,697",,,
March,"07,",2018,0,4,2,6,0,6,6,12,4,2,6,0,18,18,24,36,
1,0,0,0,0,3,3,3,2,5,7,0,10,10,17,20,,,,
Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"07,",2018,2,2,0,2,0,6,6,8,2,1,3,0,8,8,11,19,
3,3,2,5,0,14,14,19,3,0,3,0,12,12,15,34,,,,
4,3,2,5,2,39,41,46,4,11,15,0,38,38,53,99,,,,
5,5,5,10,1,106,107,117,9,11,20,1,41,42,62,179,,,,
6,16,15,31,2,152,154,185,8,18,26,0,91,91,117,302,,,,
7,15,17,32,2,153,155,187,13,29,42,0,124,124,166,353,,,,
8,25,13,38,2,171,173,211,18,31,49,1,145,146,195,406,,,,
9,36,12,48,2,181,183,231,15,37,52,2,133,135,187,418,,,,
10,46,13,59,3,179,182,241,34,32,66,0,164,164,230,471,,,,
11,26,15,41,3,148,151,192,45,32,77,0,163,163,240,432,,,,
12,46,9,55,5,169,174,229,37,34,71,1,156,157,228,457,,,,
13,49,17,66,5,164,169,235,37,31,68,3,123,126,194,429,,,,
14,30,20,50,3,195,198,248,27,20,47,1,148,149,196,444,,,,
15,28,16,44,6,195,201,245,37,38,75,0,191,191,266,511,,,,
16,39,22,61,6,223,229,290,27,38,65,2,214,216,281,571,,,,
17,38,27,65,2,232,234,299,24,42,66,0,183,183,249,548,,,,
18,25,19,44,0,132,132,176,19,26,45,1,131,132,177,353,,,,
19,19,12,31,0,70,70,101,17,35,52,0,108,108,160,261,,,,
20,5,4,9,2,40,42,51,8,14,22,0,67,67,89,140,,,,
21,4,2,6,0,30,30,36,9,16,25,1,41,42,67,103,,,,
22,4,6,10,0,25,25,35,11,9,20,0,22,22,42,77,,,,
23,4,6,10,0,8,8,18,5,8,13,0,28,28,41,59,,,,
All,Hours,472,256,728,46,"2,641","2,687","3,415",415,520,935,13,"2,359","2,372","3,307","6,722",,,
March,"08,",2018,0,2,1,3,4,9,13,16,5,3,8,0,18,18,26,42,
1,5,3,8,0,12,12,20,2,0,2,0,13,13,15,35,,,,
2,3,2,5,0,8,8,13,5,2,7,0,5,5,12,25,,,,
